"ensembl_peptide_id_version"	"external_gene_name"
"200"	"ENSXETP00000041741.2"	"c6orf203"
"201"	"ENSXETP00000062033.1"	"TPH2"
"202"	"ENSXETP00000062657.1"	""
"203"	"ENSXETP00000060248.1"	"mob3b"
"204"	"ENSXETP00000062227.1"	"mob3b"
"205"	"ENSXETP00000020668.2"	"mob3b"
"206"	"ENSXETP00000024989.3"	"XB-GENE-969052"
"207"	"ENSXETP00000041737.3"	"pdss2"
"208"	"ENSXETP00000062672.1"	"pdss2"
"209"	"ENSXETP00000001722.2"	"snx5"
"210"	"ENSXETP00000060720.1"	"snx5"
"211"	"ENSXETP00000012055.3"	"pgr"
"212"	"ENSXETP00000056100.2"	"tnfsf15"
"213"	"ENSXETP00000062384.1"	""
"214"	"ENSXETP00000051641.3"	"tnc"
"215"	"ENSXETP00000011450.3"	"kpna6"
"216"	"ENSXETP00000030789.2"	"ints12"
"217"	"ENSXETP00000050709.3"	"pax1"
"218"	"ENSXETP00000031477.3"	"kcnc1"
"219"	"ENSXETP00000059917.1"	"elavl1"
"220"	"ENSXETP00000019204.3"	"elavl1"
"221"	"ENSXETP00000020669.3"	"XB-GENE-5934251"
"222"	"ENSXETP00000003722.3"	"TBC1D15"
"223"	"ENSXETP00000048012.3"	""
"224"	"ENSXETP00000060692.1"	""
"225"	"ENSXETP00000006311.2"	""
"226"	"ENSXETP00000058866.1"	"fam49b"
"227"	"ENSXETP00000038512.1"	"fam49b"
"228"	"ENSXETP00000005782.2"	""
"229"	"ENSXETP00000041734.2"	"sobp"
"230"	"ENSXETP00000050714.3"	"nkx2-2"
"231"	"ENSXETP00000012066.3"	"ARHGAP42"
"232"	"ENSXETP00000058668.1"	"AUP1"
"233"	"ENSXETP00000050715.1"	"nkx2-4"
"234"	"ENSXETP00000046742.3"	"cyp2w1"
"235"	"ENSXETP00000061304.1"	""
"236"	"ENSXETP00000063664.1"	"xrn2"
"237"	"ENSXETP00000050719.2"	"xrn2"
"238"	"ENSXETP00000031498.3"	"ap5z1"
"239"	"ENSXETP00000060467.1"	"abcf2"
"240"	"ENSXETP00000031507.3"	"abcf2"
"241"	"ENSXETP00000030786.2"	"arhgef38"
"242"	"ENSXETP00000058662.1"	""
"243"	"ENSXETP00000054360.2"	""
"244"	"ENSXETP00000039219.2"	"wdr37"
"245"	"ENSXETP00000030783.3"	"ppa1"
"246"	"ENSXETP00000059950.1"	""
"247"	"ENSXETP00000063306.1"	"RUBCN"
"248"	"ENSXETP00000062397.1"	"RUBCN"
"249"	"ENSXETP00000032525.3"	"scml4"
"250"	"ENSXETP00000059282.1"	""
"251"	"ENSXETP00000020672.3"	"tek"
"252"	"ENSXETP00000055523.2"	"pitpnb"
"253"	"ENSXETP00000055521.2"	"pitpnb"
"254"	"ENSXETP00000034269.3"	"ntm"
"255"	"ENSXETP00000032524.2"	"sec63"
"256"	"ENSXETP00000024468.3"	"cat1"
"257"	"ENSXETP00000060972.1"	"rem1"
"258"	"ENSXETP00000051795.3"	"rem1"
"259"	"ENSXETP00000049139.3"	""
"260"	"ENSXETP00000034167.3"	"tktl2"
